country_code,zone
AF,Asia Pacific
AL,Europe
DZ,Africa
AD,Europe
AO,Africa
AG,Latin America
AR,Latin America
AM,Europe
AU,Asia Pacific
AT,Europe
AZ,Europe
BS,Latin America
BH,Middle East
BD,Asia Pacific
BB,Latin America
BY,Europe
BE,Europe
BZ,Latin America
BJ,Africa
BT,Asia Pacific
BO,Latin America
BA,Europe
BW,Africa
BR,Latin America
BN,Asia Pacific
BG,Europe
BF,Africa
BI,Africa
KH,Asia Pacific
CM,Africa
CA,Northern America
CV,Africa
CF,Africa
TD,Africa
CL,Latin America
CN,Asia Pacific
CO,Latin America
KM,Africa
CG,Africa
CR,Latin America
CI,Africa
HR,Europe
CU,Latin America
CY,Europe
CZ,Europe
CD,Africa
DK,Europe
DJ,Africa
DM,Latin America
DO,Latin America
EC,Latin America
EG,Middle East
SV,Latin America
GQ,Africa
ER,Africa
EE,Europe
SZ,Africa
ET,Africa
FJ,Asia Pacific
FI,Europe
FR,Europe
GA,Africa
GM,Africa
GE,Europe
DE,Europe
GH,Africa
GR,Europe
GD,Latin America
GT,Latin America
GN,Africa
GW,Africa
GY,Latin America
HT,Latin America
HN,Latin America
HU,Europe
IS,Europe
IN,Asia Pacific
ID,Asia Pacific
IR,Middle East
IQ,Middle East
IE,Europe
IL,Middle East
IT,Europe
JM,Latin America
JP,Asia Pacific
JO,Middle East
KZ,Asia Pacific
KE,Africa
KI,Asia Pacific
KW,Middle East
KG,Asia Pacific
LA,Asia Pacific
LV,Europe
LB,Middle East
LS,Africa
LR,Africa
LY,Middle East
LI,Europe
LT,Europe
LU,Europe
MG,Africa
MW,Africa
MY,Asia Pacific
MV,Asia Pacific
ML,Africa
MT,Europe
MH,Asia Pacific
MR,Africa
MU,Africa
MX,Latin America
FM,Asia Pacific
MD,Europe
MC,Europe
MN,Asia Pacific
ME,Europe
MA,Africa
MZ,Africa
MM,Asia Pacific
NA,Africa
NR,Asia Pacific
NP,Asia Pacific
NL,Europe
NZ,Asia Pacific
NI,Latin America
NE,Africa
NG,Africa
KP,Asia Pacific
MK,Europe
NO,Europe
OM,Middle East
PK,Asia Pacific
PW,Asia Pacific
PA,Latin America
PG,Asia Pacific
PY,Latin America
PE,Latin America
PH,Asia Pacific
PL,Europe
PT,Europe
QA,Middle East
RO,Europe
RU,Europe
RW,Africa
KN,Latin America
LC,Latin America
VC,Latin America
WS,Asia Pacific
SM,Europe
ST,Africa
SA,Middle East
SN,Africa
RS,Europe
SC,Africa
SL,Africa
SG,Asia Pacific
SK,Europe
SI,Europe
SB,Asia Pacific
SO,Africa
ZA,Africa
KR,Asia Pacific
SS,Africa
ES,Europe
LK,Asia Pacific
SD,Africa
SR,Latin America
SE,Europe
CH,Europe
SY,Middle East
TJ,Asia Pacific
TZ,Africa
TH,Asia Pacific
TL,Asia Pacific
TG,Africa
TO,Asia Pacific
TT,Latin America
TN,Africa
TR,Middle East
TM,Asia Pacific
TV,Asia Pacific
UG,Africa
UA,Europe
AE,Middle East
GB,Europe
US,Northern America
UY,Latin America
UZ,Asia Pacific
VU,Asia Pacific
VA,Europe
VE,Latin America
VN,Asia Pacific
YE,Middle East
ZM,Africa
ZW,Africa
