source,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,overfit_gap
XGBoost Regressor,0.750615531601637,0.6827970202211837,0.6738017968434664,0.7573893814913967,0.5235923311649623,0.5902374918218714,0.06781851138045325
Stacking Ensemble,0.8262952239519766,0.6740018739005313,0.5623456544823974,0.7678177270572957,0.43322396641824734,0.595393744971526,0.1522933500514453
Random Forest Regressor,0.9380737039075395,0.6627377518769043,0.33576468507721924,0.7809701741928584,0.25163753074673556,0.6040565135889664,0.2753359520306352
Neural Network Regressor,0.6976932984135329,0.6198075422068385,0.7418589680451608,0.8291867075788025,0.578646831613519,0.6471462885074596,0.07788575620669436
KNN Regressor,0.9999999999999714,0.5723355215890574,2.2848613625360486e-07,0.8794318143465677,1.0152493688068642e-07,0.6883804853498192,0.42766447841091393
Ridge Regression,0.578590562140656,0.5723164757732251,0.8758900494743437,0.8794513966485126,0.6909559154664673,0.693933896435074,0.0062740863674308756
Linear Regression,0.5785905629261422,0.5723162021942781,0.875890048658036,0.879451677930506,0.6909552608869824,0.6939331861388983,0.006274360731864048
Lasso Regression,0.5785721508916211,0.5722748138914789,0.8759091829491139,0.8794942305499427,0.690956783123521,0.6940398144828106,0.0062973370001421225
Support Vector Regressor,0.5733133559143411,0.5685387772764743,0.8813572638766138,0.8833269235733012,0.6858621955285065,0.6880801289579082,0.004774578637866789
Decision Tree Regressor,0.7201022749214039,0.5237704634239833,0.7138338658723969,0.9280230145805338,0.5535827789142382,0.7175888347858909,0.19633181149742063
